tag,problem_id,first_branch,parsed_candidate,chose_globally_viable,chose_candidate_a,is_correct
e01,0,v,1,1,0,0
e01,0,v,1,1,0,1
e01,0,v,1,1,0,1
e01,0,v,1,1,0,1
e01,0,v,1,1,0,1
e01,0,v,1,1,0,1
e01,0,v,1,1,0,1
e01,0,v,1,1,0,1
e01,0,v,1,1,0,1
e01,0,v,1,1,0,0
e01,0,v,1,1,0,1
e01,0,v,1,1,0,1
e01,0,v,1,1,0,1
e01,0,v,1,1,0,1
e01,0,v,1,1,0,1
e01,0,v,1,1,0,1
e01,1,h,1,1,1,1
e01,1,h,1,1,1,1
e01,1,h,1,1,1,1
e01,1,h,1,1,1,1
e01,1,h,1,1,1,1
e01,1,h,1,1,1,1
e01,1,h,1,1,1,0
e01,1,h,1,1,1,1
e01,1,h,1,1,1,1
e01,1,h,1,1,1,1
e01,1,h,1,1,1,0
e01,1,h,1,1,1,0
e01,1,h,1,1,1,1
e01,1,h,1,1,1,0
e01,1,h,1,1,1,1
e01,1,h,1,1,1,1
e01,2,f,1,1,1,1
e01,2,f,1,1,1,1
e01,2,f,1,1,1,1
e01,2,f,1,1,1,1
e01,2,f,1,1,1,1
e01,2,f,1,1,1,1
e01,2,f,1,1,1,1
e01,2,f,1,1,1,1
e01,2,f,1,1,1,1
e01,2,f,1,1,1,1
e01,2,f,1,1,1,1
e01,2,f,1,1,1,1
e01,2,f,1,1,1,1
e01,2,f,1,1,1,1
e01,2,f,1,1,1,1
e01,2,f,1,1,1,1
e01,3,l,1,1,1,0
e01,3,l,1,1,1,0
e01,3,l,1,1,1,0
e01,3,l,1,1,1,0
e01,3,l,1,1,1,0
e01,3,l,1,1,1,0
e01,3,l,1,1,1,0
e01,3,l,1,1,1,0
e01,3,l,1,1,1,1
e01,3,l,1,1,1,0
e01,3,l,1,1,1,0
e01,3,l,1,1,1,0
e01,3,l,1,1,1,0
e01,3,l,1,1,1,0
e01,3,l,1,1,1,0
e01,3,l,1,1,1,0
e01,4,j,1,1,1,1
e01,4,j,1,1,1,0
e01,4,j,1,1,1,0
e01,4,j,1,1,1,0
e01,4,j,1,1,1,0
e01,4,j,1,1,1,0
e01,4,j,1,1,1,0
e01,4,j,1,1,1,0
e01,4,j,1,1,1,0
e01,4,j,1,1,1,0
e01,4,j,1,1,1,1
e01,4,j,1,1,1,0
e01,4,j,1,1,1,0
e01,4,j,1,1,1,0
e01,4,j,1,1,1,0
e01,4,j,1,1,1,0
e01,5,r,1,1,1,1
e01,5,r,1,1,1,0
e01,5,r,1,1,1,1
e01,5,r,1,1,1,1
e01,5,r,1,1,1,1
e01,5,r,1,1,1,0
e01,5,r,1,1,1,0
e01,5,r,1,1,1,1
e01,5,r,1,1,1,0
e01,5,r,1,1,1,0
e01,5,r,1,1,1,0
e01,5,r,1,1,1,1
e01,5,r,1,1,1,0
e01,5,r,1,1,1,0
e01,5,r,1,1,1,0
e01,5,r,1,1,1,0
e01,6,z,1,1,0,1
e01,6,z,1,1,0,1
e01,6,z,1,1,0,1
e01,6,z,1,1,0,1
e01,6,z,1,1,0,1
e01,6,z,1,1,0,1
e01,6,z,1,1,0,1
e01,6,z,1,1,0,0
e01,6,z,1,1,0,1
e01,6,z,1,1,0,1
e01,6,z,1,1,0,1
e01,6,z,1,1,0,1
e01,6,z,1,1,0,1
e01,6,z,1,1,0,1
e01,6,z,1,1,0,1
e01,6,z,1,1,0,1
e01,7,r,1,1,0,0
e01,7,r,1,1,0,0
e01,7,r,1,1,0,0
e01,7,r,1,1,0,0
e01,7,r,1,1,0,0
e01,7,r,1,1,0,0
e01,7,r,1,1,0,0
e01,7,r,1,1,0,0
e01,7,r,1,1,0,0
e01,7,r,1,1,0,0
e01,7,r,1,1,0,0
e01,7,r,1,1,0,0
e01,7,r,1,1,0,1
e01,7,r,1,1,0,0
e01,7,r,1,1,0,0
e01,7,r,1,1,0,0
e01,8,d,1,1,1,0
e01,8,d,1,1,1,0
e01,8,d,1,1,1,0
e01,8,d,1,1,1,0
e01,8,d,1,1,1,0
e01,8,d,1,1,1,0
e01,8,d,1,1,1,0
e01,8,d,1,1,1,0
e01,8,d,1,1,1,0
e01,8,d,1,1,1,0
e01,8,d,1,1,1,0
e01,8,d,1,1,1,0
e01,8,d,1,1,1,0
e01,8,d,1,1,1,0
e01,8,d,1,1,1,0
e01,8,d,1,1,1,0
e01,9,f,1,1,1,1
e01,9,f,1,1,1,0
e01,9,f,1,1,1,0
e01,9,f,1,1,1,1
e01,9,f,1,1,1,1
e01,9,f,1,1,1,1
e01,9,f,1,1,1,1
e01,9,f,1,1,1,1
e01,9,f,1,1,1,1
e01,9,f,1,1,1,1
e01,9,f,1,1,1,1
e01,9,f,1,1,1,1
e01,9,f,1,1,1,0
e01,9,f,1,1,1,0
e01,9,f,1,1,1,1
e01,9,f,1,1,1,1
e01,10,i,1,1,0,1
e01,10,i,1,1,0,1
e01,10,i,1,1,0,1
e01,10,i,1,1,0,1
e01,10,i,1,1,0,1
e01,10,i,1,1,0,1
e01,10,i,1,1,0,1
e01,10,i,1,1,0,0
e01,10,i,1,1,0,1
e01,10,i,1,1,0,1
e01,10,i,1,1,0,1
e01,10,i,1,1,0,0
e01,10,i,1,1,0,1
e01,10,i,1,1,0,1
e01,10,i,1,1,0,0
e01,10,i,1,1,0,1
e01,11,o,1,1,0,0
e01,11,o,1,1,0,0
e01,11,o,1,1,0,0
e01,11,o,1,1,0,0
e01,11,o,1,1,0,0
e01,11,o,1,1,0,0
e01,11,o,1,1,0,0
e01,11,o,1,1,0,0
e01,11,o,1,1,0,0
e01,11,o,1,1,0,0
e01,11,o,1,1,0,0
e01,11,o,1,1,0,0
e01,11,o,1,1,0,0
e01,11,o,1,1,0,1
e01,11,o,1,1,0,0
e01,11,o,1,1,0,0
e01,12,v,1,1,0,0
e01,12,v,1,1,0,0
e01,12,v,1,1,0,0
e01,12,v,1,1,0,0
e01,12,v,1,1,0,0
e01,12,v,1,1,0,1
e01,12,v,1,1,0,0
e01,12,v,1,1,0,0
e01,12,v,1,1,0,0
e01,12,v,1,1,0,0
e01,12,v,1,1,0,0
e01,12,v,1,1,0,0
e01,12,v,1,1,0,0
e01,12,v,1,1,0,0
e01,12,v,1,1,0,0
e01,12,v,1,1,0,0
e01,13,h,1,1,1,0
e01,13,h,1,1,1,0
e01,13,h,1,1,1,0
e01,13,h,1,1,1,0
e01,13,h,1,1,1,0
e01,13,h,1,1,1,0
e01,13,h,1,1,1,0
e01,13,h,1,1,1,0
e01,13,h,1,1,1,0
e01,13,h,1,1,1,0
e01,13,h,1,1,1,0
e01,13,h,1,1,1,0
e01,13,h,1,1,1,0
e01,13,h,1,1,1,0
e01,13,h,1,1,1,0
e01,13,h,1,1,1,0
e01,14,d,1,1,1,0
e01,14,d,1,1,1,0
e01,14,d,1,1,1,0
e01,14,d,1,1,1,0
e01,14,d,1,1,1,0
e01,14,d,1,1,1,0
e01,14,d,1,1,1,0
e01,14,d,1,1,1,0
e01,14,d,1,1,1,0
e01,14,d,1,1,1,0
e01,14,d,1,1,1,0
e01,14,d,1,1,1,0
e01,14,d,1,1,1,0
e01,14,d,1,1,1,0
